name,year_start,height,weight,college,pos,age,per,team,conf
Joe Arlauckas,1988,205.74,104.32616,Niagara University,SF,22.0,7.9,SAC,West
B.J. Armstrong,1990,187.96,79.3786,University of Iowa,PG,22.0,11.9,CHI,East
Bob Armstrong,1957,203.2,99.79024,Michigan State University,C-F,23.0,7.8,PHW,East
Brandon Armstrong,2002,195.58,85.275296,Pepperdine University,SG,21.0,3.8,NJN,East
Darrell Armstrong,1995,182.88,77.11064,Fayetteville State University,PG,26.0,40.2,ORL,East
Hilton Armstrong,2007,210.82,106.59412,University of Connecticut,C,22.0,12.2,NOK,West
Tate Armstrong,1978,190.5,79.3786,Duke University,SG,22.0,11.1,CHI,East
Jesse Arnelle,1956,195.58,99.79024,Pennsylvania State University,PF,22.0,12.6,FTW,West
Jay Arnette,1964,187.96,79.3786,University of Texas at Austin,PG,25.0,8.4,CIN,East
Carlos Arroyo,2002,187.96,91.625584,Florida International University,PG,22.0,12.4,TOT,N/A
Darrell Arthur,2009,205.74,106.59412,University of Kansas,PF,20.0,11.3,MEM,West
John Arthurs,1970,193.04,83.91452,Tulane University,G,22.0,11.3,MIL,East
Vincent Askew,1988,198.12,95.25431999999999,University of Memphis,SG,21.0,7.1,PHI,East
Keith Askins,1991,200.66,89.357624,University of Alabama,SF,23.0,13.5,MIA,West
Don Asmonga,1954,187.96,83.91452,Alliance College,G,25.0,-7.5,BLB,East
Dick Atha,1956,187.96,86.18248,Indiana State University,SG,24.0,11.4,NYK,East
Chucky Atkins,2000,180.34,72.57472,University of South Florida,PG,25.0,14.4,ORL,East
Al Attles,1961,182.88,79.3786,North Carolina Agricultural and Technical State University,PG,24.0,8.8,PHW,East
Stacey Augmon,1992,203.2,92.98636,"University of Nevada, Las Vegas",SG,23.0,14.4,ATL,East
D.J. Augustin,2009,182.88,83.007336,University of Texas at Austin,PG,21.0,14.9,CHA,East
James Augustine,2007,208.28,106.59412,University of Illinois at Urbana-Champaign,PF,22.0,16.6,ORL,East
Isaac Austin,1992,208.28,115.66596,Arizona State University,C,22.0,15.0,UTA,West
Johnny Austin,1967,182.88,77.11064,Boston College,SG,22.0,5.7,BAL,East
Ken Austin,1984,205.74,92.98636,Rice University,SF,22.0,5.6,DET,East
Anthony Avent,1993,205.74,106.59412,Seton Hall University,PF,23.0,10.2,MIL,East
William Avery,2000,187.96,89.357624,Duke University,PG,20.0,6.7,MIN,West
Dennis Awtrey,1971,208.28,106.59412,Santa Clara University,C,22.0,13.5,PHI,East
Jeff Ayres,2010,205.74,108.86207999999999,Arizona State University,C,22.0,12.1,POR,West
Kelenna Azubuike,2007,195.58,99.79024,University of Kentucky,SG,23.0,13.4,GSW,West
Chris Babb,2014,195.58,102.0582,Iowa State University,SG,23.0,3.7,BOS,East
Luke Babbitt,2011,205.74,102.0582,"University of Nevada, Reno",SF,21.0,1.0,POR,West
Milos Babic,1991,213.36,108.86207999999999,Tennessee Technological University,PF,22.0,6.0,CLE,East
Jim Baechtold,1953,193.04,92.98636,Eastern Kentucky University,SF,25.0,12.9,BLB,East
John Bagley,1983,182.88,83.91452,Boston College,PG,22.0,11.7,CLE,East
Carl Bailey,1982,213.36,95.25431999999999,Tuskegee University,C,23.0,-6.8,POR,West
Gus Bailey,1975,195.58,83.91452,University of Texas at El Paso,SG,23.0,11.4,HOU,West
James Bailey,1980,205.74,99.79024,Rutgers University,PF,22.0,12.3,SEA,West
Thurl Bailey,1984,210.82,97.52228,North Carolina State University,PF,22.0,12.9,UTA,West
Toby Bailey,1999,198.12,96.615096,"University of California, Los Angeles",SG,23.0,11.3,PHO,West
Cameron Bairstow,2015,205.74,113.398,University of New Mexico,PF,24.0,2.1,CHI,East
LaMark Baker,1999,185.42000000000002,79.3786,Ohio State University,PG,29.0,-46.6,TOR,East
Maurice Baker,2005,185.42000000000002,79.3786,Oklahoma State University,PG,25.0,-0.2,TOT,N/A
Ron Baker,2017,193.04,99.79024,Wichita State University,SG,23.0,7.5,NYK,East
Vin Baker,1994,210.82,105.233344,University of Hartford,C,22.0,16.1,MIL,East
Wade Baldwin,2017,193.04,91.625584,Vanderbilt University,PG,20.0,6.4,MEM,West
Renaldo Balkman,2007,203.2,94.347136,University of South Carolina,SF,22.0,16.1,NYK,East
Cedric Ball,1991,203.2,95.25431999999999,University of North Carolina at Charlotte,PF,22.0,10.8,LAC,West
Greg Ballard,1978,200.66,97.52228,University of Oregon,SF,23.0,14.1,WSB,East
Gene Banks,1982,200.66,97.52228,Duke University,SF,22.0,14.7,SAS,West
Marcus Banks,2004,187.96,90.7184,"University of Nevada, Las Vegas",PG,22.0,11.0,BOS,East
Ken Bannister,1985,205.74,106.59412,Saint Augustine's College,PF,24.0,7.3,NYK,East
Mike Bantom,1974,205.74,90.7184,Saint Joseph's University,PF,22.0,11.7,PHO,West
John Barber,1957,198.12,95.25431999999999,"California State University, Los Angeles",F,29.0,4.2,STL,East
Steve Bardo,1992,195.58,86.18248,University of Illinois at Urbana-Champaign,SG,23.0,32.3,SAS,West
J.J. Barea,2007,182.88,83.91452,Northeastern University,PG,22.0,9.6,DAL,West
Tom Barker,1977,210.82,102.0582,University of Hawaii,C,21.0,11.5,ATL,East
Charles Barkley,1985,198.12,114.305184,Auburn University,PF,21.0,18.3,PHI,East
Erick Barkley,2001,185.42000000000002,80.28578399999999,St. John's University,PG,22.0,10.3,POR,West
Don Barksdale,1952,198.12,90.7184,"University of California, Los Angeles",PF,28.0,15.8,BLB,East
Harrison Barnes,2013,203.2,95.25431999999999,University of North Carolina,SF,20.0,11.0,GSW,West
Harry Barnes,1969,190.5,92.98636,Northeastern University,SF,23.0,2.4,SDR,West
Jim Barnes,1965,203.2,95.25431999999999,University of Texas at El Paso,PF,23.0,13.7,NYK,East
Matt Barnes,2004,200.66,102.511792,"University of California, Los Angeles",SF,23.0,10.6,LAC,West
Dick Barnett,1960,193.04,86.18248,Tennessee State University,SG,23.0,15.1,SYR,East
Jim Barnett,1967,193.04,77.11064,University of Oregon,SG,22.0,10.4,BOS,East
John Barnhill,1963,185.42000000000002,81.64656,Tennessee State University,SG,24.0,11.7,STL,East
Norton Barnhill,1977,193.04,92.98636,Washington State University,SG,23.0,4.7,SEA,West
Moe Barr,1971,193.04,88.45044,Duquesne University,G,26.0,11.9,CIN,East
Andre Barrett,2005,177.8,78.017824,Seton Hall University,PG,22.0,8.6,TOT,N/A
Ernie Barrett,1954,190.5,81.64656,Kansas State University,SG,24.0,4.7,BOS,East
Earl Barron,2006,213.36,113.398,University of Memphis,C,24.0,-2.8,MIA,West
Dana Barros,1990,180.34,73.935496,Boston College,PG,22.0,12.8,SEA,West
Brent Barry,1996,198.12,83.91452,Oregon State University,SG,24.0,15.9,LAC,West
Drew Barry,1998,195.58,86.636072,Georgia Institute of Technology,PG,24.0,10.7,ATL,East
Jon Barry,1993,193.04,88.45044,Georgia Institute of Technology,SG,23.0,9.6,MIL,East
Rick Barry,1966,200.66,92.98636,University of Miami,SF,21.0,20.0,SFW,West
Vic Bartolome,1972,213.36,104.32616,Oregon State University,C,23.0,4.4,GSW,West
Will Barton,2013,198.12,79.3786,University of Memphis,SG,22.0,9.1,POR,West
Eddie Basden,2006,195.58,97.52228,University of North Carolina at Charlotte,SF,22.0,10.3,CHI,East
Jerry Baskerville,1976,200.66,86.18248,Temple University,SF,24.0,8.0,PHI,East
Brandon Bass,2006,203.2,113.398,Louisiana State University,PF,20.0,9.1,NOK,West
Maceo Baston,2003,205.74,97.52228,University of Michigan,PF,27.0,18.0,TOR,East
Mike Batiste,2003,203.2,102.0582,Arizona State University,PF,25.0,12.2,MEM,West
Tony Battie,1998,210.82,104.32616,Texas Tech University,PF,21.0,13.3,DEN,West
Shane Battier,2002,203.2,99.79024,Duke University,SF,23.0,13.9,MEM,West
John Battle,1986,187.96,79.3786,Rutgers University,SG,23.0,11.7,ATL,East
Kenny Battle,1990,198.12,95.25431999999999,University of Illinois at Urbana-Champaign,SG,25.0,12.2,PHO,West
Dave Batton,1983,208.28,108.86207999999999,University of Notre Dame,C,26.0,10.4,WSB,East
Johnny Baum,1970,195.58,90.7184,Temple University,SF,23.0,2.0,CHI,East
Lonny Baxter,2003,203.2,117.93392,University of Maryland,C,24.0,11.3,CHI,East
Jerryd Bayless,2009,190.5,90.7184,University of Arizona,PG,20.0,8.2,POR,West
Elgin Baylor,1959,195.58,102.0582,Seattle University,SF,24.0,23.6,MNL,West
Aron Baynes,2013,208.28,117.93392,Washington State University,C,26.0,8.8,SAS,West
Kent Bazemore,2013,195.58,91.171992,Old Dominion University,SG,23.0,11.3,GSW,West
Bradley Beal,2013,195.58,93.893544,University of Florida,SG,19.0,13.6,WAS,East
Butch Beard,1970,190.5,83.91452,University of Louisville,PG,22.0,15.7,ATL,East
Jerome Beasley,2004,208.28,107.501304,University of North Dakota,PF,23.0,5.9,MIA,West
Malik Beasley,2017,195.58,88.904032,Florida State University,SG,20.0,13.7,DEN,West
Michael Beasley,2009,205.74,106.59412,Kansas State University,PF,20.0,17.2,MIA,West
Zelmo Beaty,1963,205.74,102.0582,Prairie View A&M University,C,23.0,14.3,STL,East
Corey Beck,1996,185.42000000000002,86.18248,University of Arkansas,PG,24.0,0.8,CHH,East
Ernie Beck,1954,193.04,86.18248,University of Pennsylvania,SG,22.0,8.1,PHW,East
William Bedford,1987,213.36,102.0582,University of Memphis,C,23.0,7.6,PHO,West
Ron Behagen,1974,205.74,83.91452,University of Minnesota,PF,23.0,13.9,KCO,West
Elmer Behnke,1952,200.66,95.25431999999999,Bradley University,C,22.0,7.8,MLH,West
Charlie Bell,2002,190.5,90.7184,Michigan State University,SG,22.0,-1.8,TOT,N/A
